Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
       167,   01/21/2021 04:11:18.961 PM, 0.2271
       168,   01/21/2021 04:11:18.965 PM, 0.2271
       169,   01/21/2021 04:11:18.969 PM, 0.2271
       170,   01/21/2021 04:11:18.973 PM, 0.2271
       171,   01/21/2021 04:11:18.977 PM, 0.2271
       172,   01/21/2021 04:11:18.981 PM, 0.2271
       173,   01/21/2021 04:11:18.985 PM, 0.2271
       174,   01/21/2021 04:11:18.989 PM, 0.2271
       175,   01/21/2021 04:11:18.993 PM, 0.2271
       176,   01/21/2021 04:11:18.997 PM, 0.2320
       177,   01/21/2021 04:11:19.001 PM, 0.2271
       178,   01/21/2021 04:11:19.005 PM, 0.2271
       179,   01/21/2021 04:11:19.009 PM, 0.2271
       180,   01/21/2021 04:11:19.013 PM, 0.2271
       181,   01/21/2021 04:11:19.017 PM, 0.2271
       182,   01/21/2021 04:11:19.021 PM, 0.2271
       183,   01/21/2021 04:11:19.025 PM, 0.2271
       184,   01/21/2021 04:11:19.029 PM, 0.2271
       185,   01/21/2021 04:11:19.033 PM, 0.2271
       186,   01/21/2021 04:11:19.037 PM, 0.2320
       187,   01/21/2021 04:11:19.041 PM, 0.2320
       188,   01/21/2021 04:11:19.045 PM, 0.2271
       189,   01/21/2021 04:11:19.049 PM, 0.2271
       190,   01/21/2021 04:11:19.053 PM, 0.2271
       191,   01/21/2021 04:11:19.057 PM, 0.2271
       192,   01/21/2021 04:11:19.061 PM, 0.2271
       193,   01/21/2021 04:11:19.065 PM, 0.2271
       194,   01/21/2021 04:11:19.069 PM, 0.2271
       195,   01/21/2021 04:11:19.073 PM, 0.2271
       196,   01/21/2021 04:11:19.077 PM, 0.2271
       197,   01/21/2021 04:11:19.081 PM, 0.2271
       198,   01/21/2021 04:11:19.085 PM, 0.2271
       199,   01/21/2021 04:11:19.089 PM, 0.2271
       200,   01/21/2021 04:11:19.093 PM, 0.2271
       201,   01/21/2021 04:11:19.097 PM, 0.2271
       202,   01/21/2021 04:11:19.101 PM, 0.2271
       203,   01/21/2021 04:11:19.105 PM, 0.2271
       204,   01/21/2021 04:11:19.109 PM, 0.2271
       205,   01/21/2021 04:11:19.113 PM, 0.2271
       206,   01/21/2021 04:11:19.117 PM, 0.2271
       207,   01/21/2021 04:11:19.121 PM, 0.2271
       208,   01/21/2021 04:11:19.125 PM, 0.2271
       209,   01/21/2021 04:11:19.129 PM, 0.2271
       210,   01/21/2021 04:11:19.133 PM, 0.2320
       211,   01/21/2021 04:11:19.137 PM, 0.2271
       212,   01/21/2021 04:11:19.141 PM, 0.2271
       213,   01/21/2021 04:11:19.145 PM, 0.2271
       214,   01/21/2021 04:11:19.149 PM, 0.2271
       215,   01/21/2021 04:11:19.153 PM, 0.2271
       216,   01/21/2021 04:11:19.157 PM, 0.2271
       217,   01/21/2021 04:11:19.161 PM, 0.2271
       218,   01/21/2021 04:11:19.165 PM, 0.2271
       219,   01/21/2021 04:11:19.169 PM, 0.2271
       220,   01/21/2021 04:11:19.173 PM, 0.2320
       221,   01/21/2021 04:11:19.177 PM, 0.2271
       222,   01/21/2021 04:11:19.181 PM, 0.2271
       223,   01/21/2021 04:11:19.185 PM, 0.2271
       224,   01/21/2021 04:11:19.189 PM, 0.2271
       225,   01/21/2021 04:11:19.193 PM, 0.2271
       226,   01/21/2021 04:11:19.197 PM, 0.2271
       227,   01/21/2021 04:11:19.201 PM, 0.2271
       228,   01/21/2021 04:11:19.205 PM, 0.2271
       229,   01/21/2021 04:11:19.209 PM, 0.2271
       230,   01/21/2021 04:11:19.213 PM, 0.2271
       231,   01/21/2021 04:11:19.217 PM, 0.2271
       232,   01/21/2021 04:11:19.221 PM, 0.2271
       233,   01/21/2021 04:11:19.225 PM, 0.2271
       234,   01/21/2021 04:11:19.229 PM, 0.2271
       235,   01/21/2021 04:11:19.233 PM, 0.2271
       236,   01/21/2021 04:11:19.237 PM, 0.2271
       237,   01/21/2021 04:11:19.241 PM, 0.2320
       238,   01/21/2021 04:11:19.245 PM, 0.2271
       239,   01/21/2021 04:11:19.249 PM, 0.2271
       240,   01/21/2021 04:11:19.253 PM, 0.2271
       241,   01/21/2021 04:11:19.257 PM, 0.2271
       242,   01/21/2021 04:11:19.261 PM, 0.2271
       243,   01/21/2021 04:11:19.265 PM, 0.2271
       244,   01/21/2021 04:11:19.269 PM, 0.2271
       245,   01/21/2021 04:11:19.273 PM, 0.2271
       246,   01/21/2021 04:11:19.277 PM, 0.2320
       247,   01/21/2021 04:11:19.281 PM, 0.2271
       248,   01/21/2021 04:11:19.285 PM, 0.2271
       249,   01/21/2021 04:11:19.289 PM, 0.2271
       250,   01/21/2021 04:11:19.293 PM, 0.2271
       251,   01/21/2021 04:11:19.297 PM, 0.2271
       252,   01/21/2021 04:11:19.301 PM, 0.2271
       253,   01/21/2021 04:11:19.305 PM, 0.2271
       254,   01/21/2021 04:11:19.309 PM, 0.2271
       255,   01/21/2021 04:11:19.313 PM, 0.2271
       256,   01/21/2021 04:11:19.317 PM, 0.2271
       257,   01/21/2021 04:11:19.321 PM, 0.2271
       258,   01/21/2021 04:11:19.325 PM, 0.2271
       259,   01/21/2021 04:11:19.329 PM, 0.2271
       260,   01/21/2021 04:11:19.333 PM, 0.2271
       261,   01/21/2021 04:11:19.337 PM, 0.2271
       262,   01/21/2021 04:11:19.341 PM, 0.2320
       263,   01/21/2021 04:11:19.345 PM, 0.2271
       264,   01/21/2021 04:11:19.349 PM, 0.2271
       265,   01/21/2021 04:11:19.353 PM, 0.2271
       266,   01/21/2021 04:11:19.357 PM, 0.2271
       267,   01/21/2021 04:11:19.361 PM, 0.2271
       268,   01/21/2021 04:11:19.365 PM, 0.2271
       269,   01/21/2021 04:11:19.369 PM, 0.2320
       270,   01/21/2021 04:11:19.373 PM, 0.2271
       271,   01/21/2021 04:11:19.377 PM, 0.2320
       272,   01/21/2021 04:11:19.381 PM, 0.2271
       273,   01/21/2021 04:11:19.385 PM, 0.2271
       274,   01/21/2021 04:11:19.389 PM, 0.2271
       275,   01/21/2021 04:11:19.393 PM, 0.2271
       276,   01/21/2021 04:11:19.397 PM, 0.2271
       277,   01/21/2021 04:11:19.401 PM, 0.2271
       278,   01/21/2021 04:11:19.405 PM, 0.2271
       279,   01/21/2021 04:11:19.409 PM, 0.2271
       280,   01/21/2021 04:11:19.413 PM, 0.2271
       281,   01/21/2021 04:11:19.417 PM, 0.2271
       282,   01/21/2021 04:11:19.421 PM, 0.2271
       283,   01/21/2021 04:11:19.425 PM, 0.2271
       284,   01/21/2021 04:11:19.429 PM, 0.2271
       285,   01/21/2021 04:11:19.433 PM, 0.2271
       286,   01/21/2021 04:11:19.437 PM, 0.2320
       287,   01/21/2021 04:11:19.441 PM, 0.2271
       288,   01/21/2021 04:11:19.445 PM, 0.2271
       289,   01/21/2021 04:11:19.449 PM, 0.2271
       290,   01/21/2021 04:11:19.453 PM, 0.2271
       291,   01/21/2021 04:11:19.457 PM, 0.2320
       292,   01/21/2021 04:11:19.461 PM, 0.2271
       293,   01/21/2021 04:11:19.465 PM, 0.2271
       294,   01/21/2021 04:11:19.469 PM, 0.2271
       295,   01/21/2021 04:11:19.473 PM, 0.2271
       296,   01/21/2021 04:11:19.477 PM, 0.2320
       297,   01/21/2021 04:11:19.481 PM, 0.2271
       298,   01/21/2021 04:11:19.485 PM, 0.2320
       299,   01/21/2021 04:11:19.489 PM, 0.2271
       300,   01/21/2021 04:11:19.493 PM, 0.2271
       301,   01/21/2021 04:11:19.497 PM, 0.2271
       302,   01/21/2021 04:11:19.501 PM, 0.2271
       303,   01/21/2021 04:11:19.505 PM, 0.2271
       304,   01/21/2021 04:11:19.509 PM, 0.2271
       305,   01/21/2021 04:11:19.513 PM, 0.2271
       306,   01/21/2021 04:11:19.517 PM, 0.2271
       307,   01/21/2021 04:11:19.521 PM, 0.2271
       308,   01/21/2021 04:11:19.525 PM, 0.2271
       309,   01/21/2021 04:11:19.529 PM, 0.2271
       310,   01/21/2021 04:11:19.533 PM, 0.2271
       311,   01/21/2021 04:11:19.537 PM, 0.2271
       312,   01/21/2021 04:11:19.541 PM, 0.2271
       313,   01/21/2021 04:11:19.545 PM, 0.2271
       314,   01/21/2021 04:11:19.549 PM, 0.2271
       315,   01/21/2021 04:11:19.553 PM, 0.2271
       316,   01/21/2021 04:11:19.557 PM, 0.2271
       317,   01/21/2021 04:11:19.561 PM, 0.2271
       318,   01/21/2021 04:11:19.565 PM, 0.2271
       319,   01/21/2021 04:11:19.569 PM, 0.2271
       320,   01/21/2021 04:11:19.573 PM, 0.2271
       321,   01/21/2021 04:11:19.577 PM, 0.2271
       322,   01/21/2021 04:11:19.581 PM, 0.2320
